          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  2400 ,     7 ,  2400 ,    2142.533666 ,       0.034769 ,       0.034921 ,   0.438867
   rocblas_wo_dt ,   SP ,  2500 ,     7 ,  2500 ,    2012.208578 ,       0.040071 ,       0.040340 ,   0.672339
   rocblas_wo_dt ,   SP ,  2600 ,     7 ,  2600 ,    2181.012481 ,       0.039849 ,       0.040278 ,   1.076941
   rocblas_wo_dt ,   SP ,  2700 ,     7 ,  2700 ,    2095.085744 ,       0.044951 ,       0.045209 ,   0.572823
   rocblas_wo_dt ,   SP ,  2800 ,     7 ,  2800 ,    2144.809458 ,       0.046482 ,       0.047512 ,   2.215839
   rocblas_wo_dt ,   SP ,  2900 ,     7 ,  2900 ,    2086.582727 ,       0.051689 ,       0.052381 ,   1.337638
   rocblas_wo_dt ,   SP ,  3000 ,     7 ,  3000 ,    1995.211923 ,       0.058460 ,       0.058620 ,   0.273246
   rocblas_wo_dt ,   SP ,   500 ,     8 ,   500 ,     677.980717 ,       0.005510 ,       0.005519 ,   0.173085
   rocblas_wo_dt ,   SP ,   600 ,     8 ,   600 ,     881.055978 ,       0.005999 ,       0.006020 ,   0.357711
   rocblas_wo_dt ,   SP ,   700 ,     8 ,   700 ,    1003.341481 ,       0.007188 ,       0.007329 ,   1.956882
   rocblas_wo_dt ,   SP ,   800 ,     8 ,   800 ,    1269.797495 ,       0.007410 ,       0.007548 ,   1.866152
   rocblas_wo_dt ,   SP ,   900 ,     8 ,   900 ,    1311.550778 ,       0.008619 ,       0.008721 ,   1.189488
   rocblas_wo_dt ,   SP ,  1000 ,     8 ,  1000 ,    1251.029107 ,       0.009820 ,       0.010099 ,   2.840495
   rocblas_wo_dt ,   SP ,  1100 ,     8 ,  1100 ,    1617.360098 ,       0.011177 ,       0.011212 ,   0.311433
   rocblas_wo_dt ,   SP ,  1200 ,     8 ,  1200 ,    1951.796613 ,       0.011041 ,       0.011066 ,   0.226738
   rocblas_wo_dt ,   SP ,  1300 ,     8 ,  1300 ,    2161.274223 ,       0.011706 ,       0.011727 ,   0.181270
   rocblas_wo_dt ,   SP ,  1400 ,     8 ,  1400 ,    1134.407825 ,       0.025120 ,       0.025470 ,   1.395216
