          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  1300 ,     5 ,  1300 ,    1006.677362 ,       0.012259 ,       0.015345 ,  25.165306
   rocblas_wo_dt ,   SP ,  1400 ,     5 ,  1400 ,     764.538213 ,       0.020943 ,       0.022979 ,   9.722222
   rocblas_wo_dt ,   SP ,  1500 ,     5 ,  1500 ,    1048.443890 ,       0.018883 ,       0.019059 ,   0.934343
   rocblas_wo_dt ,   SP ,  1600 ,     5 ,  1600 ,    1240.645885 ,       0.018082 ,       0.018363 ,   1.555907
   rocblas_wo_dt ,   SP ,  1700 ,     5 ,  1700 ,    1213.065139 ,       0.020299 ,       0.021558 ,   6.201550
   rocblas_wo_dt ,   SP ,  1800 ,     5 ,  1800 ,    1240.131643 ,       0.021758 ,       0.023160 ,   6.443130
   rocblas_wo_dt ,   SP ,  1900 ,     5 ,  1900 ,    1133.060953 ,       0.027962 ,       0.028582 ,   2.216917
   rocblas_wo_dt ,   SP ,  2000 ,     5 ,  2000 ,    1472.239883 ,       0.024123 ,       0.024343 ,   0.909271
   rocblas_wo_dt ,   SP ,  2100 ,     5 ,  2100 ,    1499.748750 ,       0.025640 ,       0.026183 ,   2.120141
   rocblas_wo_dt ,   SP ,  2200 ,     5 ,  2200 ,    1654.124217 ,       0.025802 ,       0.026140 ,   1.312142
   rocblas_wo_dt ,   SP ,  2300 ,     5 ,  2300 ,    1213.505900 ,       0.038757 ,       0.039220 ,   1.193406
   rocblas_wo_dt ,   SP ,  2400 ,     5 ,  2400 ,    1509.073046 ,       0.033822 ,       0.034299 ,   1.409841
   rocblas_wo_dt ,   SP ,  2500 ,     5 ,  2500 ,    1434.198154 ,       0.038719 ,       0.039258 ,   1.391626
   rocblas_wo_dt ,   SP ,  2600 ,     5 ,  2600 ,    1557.584001 ,       0.038681 ,       0.039062 ,   0.986193
   rocblas_wo_dt ,   SP ,  2700 ,     5 ,  2700 ,    1468.803557 ,       0.044136 ,       0.044661 ,   1.188418
   rocblas_wo_dt ,   SP ,  2800 ,     5 ,  2800 ,    1528.898661 ,       0.045776 ,       0.046163 ,   0.843750
   rocblas_wo_dt ,   SP ,  2900 ,     5 ,  2900 ,    1474.613330 ,       0.050077 ,       0.051322 ,   2.485241
   rocblas_wo_dt ,   SP ,  3000 ,     5 ,  3000 ,    1468.508308 ,       0.054698 ,       0.055184 ,   0.889199
   rocblas_wo_dt ,   SP ,   500 ,     6 ,   500 ,     486.875146 ,       0.005637 ,       0.005644 ,   0.130819
   rocblas_wo_dt ,   SP ,   600 ,     6 ,   600 ,     652.855284 ,       0.006050 ,       0.006062 ,   0.197628
   rocblas_wo_dt ,   SP ,   700 ,     6 ,   700 ,     727.360398 ,       0.007376 ,       0.007417 ,   0.565689
   rocblas_wo_dt ,   SP ,   800 ,     6 ,   800 ,     886.809428 ,       0.007897 ,       0.007938 ,   0.524451
   rocblas_wo_dt ,   SP ,   900 ,     6 ,   900 ,     987.530416 ,       0.008809 ,       0.008890 ,   0.915423
   rocblas_wo_dt ,   SP ,  1000 ,     6 ,  1000 ,     777.724229 ,       0.010443 ,       0.015221 ,  45.753426
   rocblas_wo_dt ,   SP ,  1100 ,     6 ,  1100 ,     883.676920 ,       0.011821 ,       0.015521 ,  31.302944
   rocblas_wo_dt ,   SP ,  1200 ,     6 ,  1200 ,    1049.469826 ,       0.011997 ,       0.015583 ,  29.888712
   rocblas_wo_dt ,   SP ,  1300 ,     6 ,  1300 ,    1202.003740 ,       0.012383 ,       0.015721 ,  26.954178
   rocblas_wo_dt ,   SP ,  1400 ,     6 ,  1400 ,     898.236923 ,       0.022302 ,       0.023503 ,   5.388069
   rocblas_wo_dt ,   SP ,  1500 ,     6 ,  1500 ,    1284.052948 ,       0.018821 ,       0.019140 ,   1.697492
   rocblas_wo_dt ,   SP ,  1600 ,     6 ,  1600 ,    1496.530969 ,       0.018001 ,       0.018620 ,   3.443709
   rocblas_wo_dt ,   SP ,  1700 ,     6 ,  1700 ,    1426.250981 ,       0.021520 ,       0.022144 ,   2.902725
   rocblas_wo_dt ,   SP ,  1800 ,     6 ,  1800 ,    1507.494242 ,       0.022802 ,       0.023441 ,   2.802175
   rocblas_wo_dt ,   SP ,  1900 ,     6 ,  1900 ,    1333.791131 ,       0.028543 ,       0.029802 ,   4.410291
   rocblas_wo_dt ,   SP ,  2000 ,     6 ,  2000 ,    1678.262776 ,       0.024662 ,       0.026217 ,   6.303171
   rocblas_wo_dt ,   SP ,  2100 ,     6 ,  2100 ,    1601.951968 ,       0.029259 ,       0.030360 ,   3.764668
   rocblas_wo_dt ,   SP ,  2200 ,     6 ,  2200 ,    1860.872562 ,       0.027099 ,       0.028815 ,   6.334682
   rocblas_wo_dt ,   SP ,  2300 ,     6 ,  2300 ,    1468.830755 ,       0.039220 ,       0.039601 ,   0.972644
   rocblas_wo_dt ,   SP ,  2400 ,     6 ,  2400 ,    1795.177920 ,       0.034523 ,       0.035300 ,   2.251381
   rocblas_wo_dt ,   SP ,  2500 ,     6 ,  2500 ,    1721.204590 ,       0.039382 ,       0.039959 ,   1.465068
   rocblas_wo_dt ,   SP ,  2600 ,     6 ,  2600 ,    1868.760388 ,       0.039439 ,       0.039802 ,   0.918873
   rocblas_wo_dt ,   SP ,  2700 ,     6 ,  2700 ,    1757.780918 ,       0.045180 ,       0.045638 ,   1.013193
   rocblas_wo_dt ,   SP ,  2800 ,     6 ,  2800 ,    1836.566558 ,       0.046439 ,       0.047021 ,   1.252695
   rocblas_wo_dt ,   SP ,  2900 ,     6 ,  2900 ,    1764.278589 ,       0.052099 ,       0.052462 ,   0.695589
   rocblas_wo_dt ,   SP ,  3000 ,     6 ,  3000 ,    1737.925330 ,       0.056701 ,       0.057001 ,   0.529812
   rocblas_wo_dt ,   SP ,   500 ,     7 ,   500 ,     566.341405 ,       0.005726 ,       0.005735 ,   0.150231
   rocblas_wo_dt ,   SP ,   600 ,     7 ,   600 ,     707.217836 ,       0.006560 ,       0.006617 ,   0.857633
   rocblas_wo_dt ,   SP ,   700 ,     7 ,   700 ,     846.816685 ,       0.007497 ,       0.007518 ,   0.283962
   rocblas_wo_dt ,   SP ,   800 ,     7 ,   800 ,    1034.919448 ,       0.007985 ,       0.008019 ,   0.420521
   rocblas_wo_dt ,   SP ,   900 ,     7 ,   900 ,    1167.940818 ,       0.008874 ,       0.008927 ,   0.592651
   rocblas_wo_dt ,   SP ,  1000 ,     7 ,  1000 ,     905.077282 ,       0.010600 ,       0.015264 ,  43.994602
   rocblas_wo_dt ,   SP ,  1100 ,     7 ,  1100 ,    1043.637895 ,       0.012059 ,       0.015459 ,  28.192961
   rocblas_wo_dt ,   SP ,  1200 ,     7 ,  1200 ,    1252.348423 ,       0.011921 ,       0.015364 ,  28.879999
   rocblas_wo_dt ,   SP ,  1300 ,     7 ,  1300 ,    1431.863551 ,       0.012598 ,       0.015597 ,  23.807722
   rocblas_wo_dt ,   SP ,  1400 ,     7 ,  1400 ,    1038.945482 ,       0.022178 ,       0.024519 ,  10.556870
   rocblas_wo_dt ,   SP ,  1500 ,     7 ,  1500 ,    1484.980799 ,       0.019283 ,       0.019522 ,   1.236400
   rocblas_wo_dt ,   SP ,  1600 ,     7 ,  1600 ,    1745.010156 ,       0.018678 ,       0.018821 ,   0.765892
   rocblas_wo_dt ,   SP ,  1700 ,     7 ,  1700 ,    1619.224651 ,       0.022101 ,       0.022964 ,   3.905070
   rocblas_wo_dt ,   SP ,  1800 ,     7 ,  1800 ,    1757.225961 ,       0.023079 ,       0.023923 ,   3.657025
   rocblas_wo_dt ,   SP ,  1900 ,     7 ,  1900 ,    1514.222787 ,       0.027099 ,       0.031061 ,  14.622559
   rocblas_wo_dt ,   SP ,  2000 ,     7 ,  2000 ,    1968.964889 ,       0.025077 ,       0.026398 ,   5.267161
   rocblas_wo_dt ,   SP ,  2100 ,     7 ,  2100 ,    1668.471863 ,       0.033636 ,       0.034261 ,   1.857102
